timestamp,adc_A0_V,adc_A1_V,tension_V,courant_A,puissance_W,temp_C,lux,solar_zenith_deg,solar_elevation_deg,solar_azimuth_deg,airmass_abs,is_day,dni_extraterrestre_Wm2,ciel_clair_ghi_Wm2,ciel_clair_dni_Wm2,ciel_clair_dhi_Wm2,temp_air_C_model,humidite_rel_pct_model,point_rosee_C_model,vent_ms_model,ghi_estime_lux_Wm2,indice_ciel_clair
2026-06-14 18:00:48,0.0,0.0537,0.0,0.054,0.0,25.44,18.3,59.201,30.799,279.093,1.9202,1,1323.1,454.8,724.7,83.8,23.46,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:00:50,0.0,0.0541,0.0,0.054,0.0,25.5,16.7,59.208,30.792,279.097,1.9206,1,1323.1,454.7,724.6,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:00:53,0.0,0.0539,0.0,0.054,0.0,25.5,15.8,59.218,30.782,279.103,1.9212,1,1323.1,454.5,724.5,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:00:55,0.0,0.0541,0.0,0.054,0.0,25.5,17.5,59.225,30.775,279.107,1.9216,1,1323.1,454.4,724.5,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:00:57,0.0,0.0541,0.0,0.054,0.0,25.56,10.0,59.232,30.768,279.111,1.922,1,1323.1,454.3,724.4,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:00:59,0.0,0.0539,0.0,0.054,0.0,25.5,12.5,59.239,30.761,279.114,1.9223,1,1323.1,454.2,724.3,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:01:02,0.0,0.0542,0.0,0.054,0.0,25.5,13.3,59.249,30.751,279.12,1.9229,1,1323.1,454.0,724.3,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:01:04,0.0,0.0536,0.0,0.054,0.0,25.5,13.3,59.256,30.744,279.124,1.9233,1,1323.1,453.9,724.2,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:01:06,0.0,0.0542,0.0,0.054,0.0,25.5,17.5,59.263,30.737,279.128,1.9237,1,1323.1,453.8,724.1,83.7,23.46,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:01:08,0.0,0.0537,0.0,0.054,0.0,25.5,19.2,59.27,30.73,279.132,1.9241,1,1323.1,453.7,724.1,83.7,23.46,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:10,0.0,0.0541,0.0,0.054,0.0,25.5,20.0,59.277,30.723,279.136,1.9245,1,1323.1,453.5,724.0,83.6,23.46,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:13,0.0,0.0531,0.0,0.053,0.0,26.31,20.8,59.287,30.713,279.142,1.925,1,1323.1,453.4,723.9,83.6,23.46,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:15,0.0,0.0534,0.0,0.053,0.0,27.38,20.0,59.294,30.706,279.146,1.9254,1,1323.1,453.2,723.9,83.6,23.46,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:17,0.0001,0.0527,0.0,0.053,0.0,28.12,19.2,59.301,30.699,279.15,1.9258,1,1323.1,453.1,723.8,83.6,23.45,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:19,0.0,0.0522,0.0,0.052,0.0,29.12,18.3,59.308,30.692,279.154,1.9262,1,1323.1,453.0,723.7,83.6,23.45,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:21,0.0001,0.0534,0.0,0.053,0.0,29.88,18.3,59.314,30.686,279.158,1.9266,1,1323.1,452.9,723.7,83.6,23.45,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:24,0.0,0.0514,0.0,0.051,0.0,30.38,20.0,59.325,30.675,279.164,1.9272,1,1323.1,452.7,723.6,83.6,23.45,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:26,0.0,0.0529,0.0,0.053,0.0,30.38,16.7,59.332,30.668,279.168,1.9275,1,1323.1,452.6,723.5,83.6,23.45,67.1,17.0,4.76,0.1,0.0
2026-06-14 18:01:28,0.0,0.0525,0.0,0.052,0.0,30.12,20.8,59.338,30.662,279.172,1.9279,1,1323.1,452.5,723.5,83.6,23.45,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:30,0.0,0.0525,0.0,0.052,0.0,29.88,20.8,59.345,30.655,279.176,1.9283,1,1323.1,452.4,723.4,83.5,23.45,67.1,17.0,4.76,0.2,0.0
2026-06-14 18:01:32,0.0,0.0531,0.0,0.053,0.0,29.56,20.8,59.352,30.648,279.179,1.9287,1,1323.1,452.3,723.3,83.5,23.45,67.1,17.0,4.76,0.2,0.0
